key,lang,text
006-334880-360927-speaker01,False,🎼大家好，今个星期六。😊
065-19370528-19571679-speaker01,False,因为作家去写小说嘅关系嘅时候咧，往往要喺历史同埋想象之间来回咁样思考，毕竟历史小说咧会令我哋联想到真实啊史实啊咁样。
050-18097184-18212319-speaker00,False,🎼世界上最古老的手抄经文，甚至还有大壮经中都未曾收集到的佛典。
035-13501984-13635039-speaker01,False,咦原来报上边仲有啲字嘅，呢啲字咧，最初睇落似中文，不过冇一只字赵恒德系认得嘅。
016-5067296-5162463-speaker01,False,我哋会话敦煌咧，呢一个作品系一部以中国为题材嘅历史小说。
022-7398432-7450591-speaker01,False,🎼主持唐睿周子欣。
066-19575328-19737328-speaker01,False,小说最后系驾驭咗啲史料定系咧俾屎鸟扰乱佢嘅节奏咧，一切都要睇作家嘅创作理念同埋表达方式。
033-11588640-13382623-speaker00,False,咁，佢系好好奇啦，咁啊走埋去睇下发生咩事，咁咧，就首先影入去眼入边嘅咧，就系一个好奇怪嘅一个好似，我哋今次咁日讲上身裸露嘅肥嘟嘟嘅一好似猪肉佬模样嘅人啦，咁咧佢就喺度大声嗌老就话买啦，你买啦，咁啊想要边一忽都可以嘅只要你出声出个价钱咁我就会嗒嗰一部分落嚟噶啦，咁样咁咧赵恒德就好好奇啦，到底系唔系乜嘢咧，咁啊行埋去睇佢就发现咧有一个即系几乎全裸嘅女子啦咁但系睇佢嘅面貌咧就应该唔系汉人嚟嘅咁样咁赵恒德就好奇怪冇端端点解话要买一个人而且仲要佢落嚟咁样咁跟住咧嗰个好似屠夫咁嘅模样嘅人个男人啦，咁佢就见即系啲围观嘅人就无动于衷啦，咁样以为佢讲笑啦或者讲下即咁样咁佢真系攞把刀就咗呢个少女嘅手指落嚟，咁咧就吓到周边嗰啲人就起哄啦，咁样咁赵恒德亦都系吓咗一跳咁样咁佢出于可能系读书人嘅恻隐之心啦吓，佢就即刻谂就去同呢个男人讲佢话我买我买我成个买咗落嚟啦，你好再佢啦咁样咁咧佢就救咗，呢个神秘嘅呢个女子啦，咁咧呢个女子咧亦都非常之倔强咁佢即系唔单止咧佢系冇多谢啦，冇好感激赵恒德啦，而且咧仲好倔强咁样咧，就同佢讲，佢话诶我唔系，你想象之中咁样嘅女人嚟噶诶嗱，我依家身上边乜嘢都冇噶啦，吓剩低一块咁样嘅布咁咧就我将呢块布俾你跟住咧我哋两个各不相欠啦，佢嘅意思大概就系咁啦，咁结果咧赵恒德亦都冇特别话要即系收佢做驴皮嘅嗰啲咁嘅意思啦纯粹都系出于想救佢咁于是乎呢个女仔咧就即系消失咗，系开丰富嘅，呢个人群入边啦。
006-334880-360927-speaker01_vocals,False,大家好，今个星期六。😊
042-16015904-17503199-speaker00,False,小说入边咧，就喺呢度终结咗，咁，但系咧井上正咧喺个铺排上边咧就时间快转咗啦，大概过咗差唔多八百几九八年嘅时候啦，咁咧故事咧又重新开展翻，咁都系喺敦煌呢个地方，但系当时咧就已经冇咁热闹啦，呢个地方，咁有一位嘅道士叫做王元禄啦，咁，佢咧就喺敦煌呢度咧主持一个即系非常之冷清嘅一个嘅庙宇，咁然后当佢喺度整理呢个嘅庙语嘅时候咧，佢忽然之间发现咧，就系咦原来咧喺嗰个长壁洞壁入边咧，系有一啲嘅空间啦，咁样，咁然后咧，佢就发现咗咧，诶原来入边咧，系收藏咗一啲嘅经卷咁王元禄所发现嘅经卷咧，咁就真系对应翻，我哋现实啦，咁，呢个就唔系小说故事啦，而，系咧，就系后尾喺二十世纪初好重要嘅考古发现就系敦煌藏经洞嘅发现啦，但系当然啦吓，呢个王元禄所发现嘅经卷咧，就同井上正所写嘅敦王小说入边即系唔系赵恒德所抄写嘅啦，不过咧就井上正咧其实就系用咗，呢个嘅咁重要嘅世纪嘅考古发现啦，咁就系讲翻咧，呢个嘅敦王喺呢个地方上边好重要嘅一啲文化交流嘅历史啦，同埋即系住赵恒德呢个人物咧嚟贯穿咗当时呢个西域啦，包括咗宋朝啦，同埋呢个嘅西夏啦，仲有回压啦，各个民族嘅一啲嘅文化交流啦，商贸王来啦同埋一啲嘅战争嘅冲突咁样。
024-7946784-8153567-speaker01,False,唐睿啊原来敦煌咧，系一个有关考试嘅故事嚟嘅，系交代一个宋代嘅考生一个读书人嘅故事，咁，呢个故事咧，系发生喺乜嘢历史背景里面嘅咧。
001-135712-165343-speaker01,False,🎼带来要读读新感觉。
070-21765664-21770719-speaker01,False,うん.
067-19737328-21482800-speaker00,False,井顺正咧确实，系一个好了不起嘅作家，即系除咗，佢创作嗰个精力非常之旺盛啦吓，有非常之多嘅作品啦，咁我谂另外一个好值得我哋注意特别系如果我哋对文学啦对创作感兴趣嘅听众咧可以特别留意井上正一个好了不起嘅能力啊就系咧佢可以将呢大量大量嘅资料咧消化得好精准将佢整理成一个相对精密嘅小说啦，我哋睇呢个小说嘅时候咧诶我相信咧大部分读者就算对敦煌嘅历史或者对西域嗰个嘅文化家流师未必好认识咧，但系都唔会 住嘅，因为井上正系会帮你咧喺你睇嘅过程入边咧系透过情节啦，去帮你打通呢啲嘅历史知识啊，我哋睇完之后咧又会有掌鸟知识嘅感觉啦，咁呢个系即系我都好感激井顺正咁而如果真系要问就系话啊其实佢呢种能力喺边度嚟嘅咧，咁样，咁，我觉得第一咧就系我哋睇好多日本作家佢哋都系有资料癖嘅日本漫画家又好或者佢哋搞科研嘅，佢哋都系一路资料搜集嗰个嘅要求系好高嘅咁样，除咗，呢个资料癖啦或者系即系嗰种苦工去做资料嘅一个前期嘅工作好值得我哋注意之外啦，井顺正我相信咧佢有另外一个经验咧，系亦都帮助到，佢咧就系诶可以即系用咁少嘅篇幅嚟杠杆呢一个咁大嘅故事诶嗰个能力咧就嚟自咧佢做记者咁，我相信咧井顺正佢喺就大阪每日新闻入边所做嘅工作嗰段嘅经历咧，唔单止咧系帮咗，佢积累咗啦，佢对佛教经典啦佛教艺术嘅嗰种嘅知识同时喺佢写作上边咧亦都系提供咗一个好大嘅磨练嘅机会。
030-9531424-10064863-speaker00,False,我哋嘅小说入边嘅主角啦赵幸德啦，咁，佢都好叻仔，佢辅读咗好多年之后咧，终于咧，系考到去最后一关啦考到系电视咁电视系咩嚟嘅咧，即系话考到可以去搜刀啦，就系当时嘅开封嗰度，咁咧，就亲自接受呢个嘅皇帝嘅策问啊，咁只要过埋呢一关咧，咁咧哇即系名成利走噶啦，即系埋满一脚噶啦，咁啊用依家嘅讲法就系不过咧好巧合啦或者好悲剧嘅事情就喺呢个电视嘅时候发生咗啦，就系咧当佢喺度一路等。
027-9239072-9407967-speaker01,False,哇，咁考生想得到考试嘅好成绩，就肯定要勤力温书读书啦，所以，呢个故事咧，我觉得同我哋开卷落都好夹，因为都系同。
017-5173792-5288415-speaker01,False,写上证仲写咗好多其他有关中国嘅历史故事，好似天平之盟。
046-17837600-17871327-speaker00,False,这些经书的种类繁多。
058-18807840-18837471-speaker00,False,可以毫不夸张地说。
069-21588512-21758431-speaker01,False,🎼今晚开卷落嘅旅程咧，又差唔多去到尾声咯，约定大家下个星期六我哋再一齐睇更多属于文字嘅风景，下个星期见。😊
053-18406432-18467807-speaker00,False,🎼特别是其中大量的梵文和藏文典籍等。
056-18673184-18705887-speaker00,False,🎼其中包含的各类史料。
003-232480-258527-speaker00,False,🎼开拳南开拳南。
055-18659360-18669023-speaker00,False,另外。
038-13725728-14085087-speaker01,False,自己已经错过咗人生最重要嘅考试，照计咧都冇乜心机去理呢啲闲试噶啦，但系赵恒德咧真系一个对于知识充满热情嘅人，佢居然咧去追查呢啲文字嘅意思，后来又俾佢知道咗咧，呢啲文字其实，系北宋时代附近新崛起嘅一个国家叫做西夏嘅西夏文字嚟嘅。
021-7376928-7390175-speaker01,False,🎼梯卷啦。
059-18842656-18901471-speaker00,False,🎼敦煌石窟出土经卷，不仅对东洋史学。
034-13386784-13497823-speaker01,False,咁，呢个女子消失咗之后咧阿赵恒德就拎住，呢个神秘女子俾佢嗰块布睇一睇。
044-17573408-17662943-speaker00,False,🎼唐经洞里的宝物比黄道士想象的具有更加巨大的价值。
052-18347040-18396127-speaker00,False,摩尼教和警教的教义转史书。
041-14531104-16012255-speaker00,False,系啦，咁咧，就时间快转啦，咁啊虽然话中间嘅一啲嘅情前我哋唔剧透啦，后尾其实都系有好多好特别嘅遭遇包括咗卷入咗一啲嘅战争啦吓，相对入边嘅一啲嘅出卖啊同埋有一啲嘅爱情嘅故事出现咗啦，咁但系最后佢跟住都系俾佢成功啦，咁样去到西夏呢个国家嗰度，结果佢系做咩去学习咗西夏嘅文字啦，咁同时间咧，因为一啲嘅命令啦吓，佢就接受咗一个嘅工作就系要去做一啲嘅抄经咁咧，佢就去到敦煌呢个地方，但系当时咧因为丝绸之路上边咧各个国家啦，民族嗰个嘅冲突咧都好多啊，咁咧，所以咧，佢去到敦煌呢个地方嘅时候咧，咁其实咧西夏嘅军队咧，咁咧就快会进攻过嚟啦，咁但系咧赵恒德当时，佢好担心就系佢所抄近嘅经卷啊，因为咧当时咧，就系喺敦王咧就系由节道使去守备主嘅，咁个节道使咧知道就系话啊其实我哋根本系冇办法去抵御西夏嘅军队噶啦，咁，就能够撤离嘅，就撤离啦，咁但系赵恒德佢花咗好多嘅时间心血去抄经，咁所以咧，佢就谂啊点算咧，咁，呢啲经卷可以点样做咧，咁，我又带唔得走咁样，但系如果啲军队嚟到可能就会将呢啲嘅经卷咧一把火烧晒咁样，咁最后咧，佢就谂咗个办法咧，就系将诶呢啲嘅经卷咧，就埋藏咗喺一啲嘅山洞入边啦，然后咧赵恒德嘅故事咧，大概就喺敦煌。
028-9413152-9428447-speaker01,False,书有关嘅。
